id,Response,QuestionID_id,SessionID_id
532,d,1,58
533,d,2,58
534,d,3,58
535,4,5,58
536,1,6,58
537,1,7,58
538,great,38,58
539,r,39,58
540,r,40,58
541,nope,41,58
542,e,42,58
543,Good,43,58
596,4,9,58
597,2,10,58
598,2,11,58
599,4,12,58
600,4,13,58
601,3,14,58
602,2,15,58
603,3,16,58
604,4,17,58
605,4,18,58
606,2,19,58
607,2,20,58
608,2,21,58
609,4,22,58
610,3,23,58
611,2,24,58
612,3,25,58
613,4,26,58
614,4,27,58
615,4,28,58
616,4,29,58
617,1,30,58
618,4,31,58
619,4,32,58
620,3,33,58
621,3,34,58
622,4,35,58
623,4,36,58
624,4,37,58
625,4,38,58
626,4,39,58
627,4,9,58
628,4,10,58
629,4,11,58
630,4,12,58
631,4,13,58
632,4,14,58
633,4,15,58
634,4,16,58
635,4,17,58
636,4,18,58
637,4,19,58
638,4,20,58
639,4,21,58
640,4,22,58
641,3,23,58
642,2,24,58
643,4,25,58
644,3,26,58
645,3,27,58
646,3,28,58
647,3,29,58
648,5,1,58
649,5,2,58
650,5,3,58
651,0,4,58
652,2,5,58
653,ddd,6,58
654,yes,7,58
655,2,8,58
656,est,40,58
657,set,41,58
658,tse,42,58
659,2,30,58
660,4,31,58
661,4,32,58
662,4,33,58
663,4,34,58
664,4,35,58
665,4,36,58
666,4,37,58
667,4,38,58
668,4,39,58
669,4,9,58
670,4,10,58
671,4,11,58
672,4,12,58
673,4,13,58
674,4,14,58
675,4,15,58
676,4,16,58
677,4,17,58
678,4,18,58
679,4,19,58
680,4,20,58
681,4,21,58
682,4,22,58
683,4,23,58
684,4,24,58
685,4,25,58
686,4,26,58
687,4,27,58
688,4,28,58
689,4,29,58
692,5,1,58
693,3,2,58
694,4,3,58
695,0,4,58
696,4,5,58
697,"sdgdsg
dsgdsg",6,58
698,sdg,7,58
699,2,8,58
700,sdgd,40,58
701,dfg,41,58
702,dfg,42,58
703,sad,50,58
704,3,9,58
705,4,10,58
706,4,11,58
707,4,12,58
708,4,13,58
709,4,14,58
710,4,15,58
711,4,16,58
712,4,17,58
713,1,18,58
714,3,19,58
715,3,20,58
716,4,21,58
717,4,22,58
718,4,23,58
719,4,24,58
720,4,25,58
721,3,26,58
722,3,27,58
723,4,28,58
724,3,29,58
725,3,30,58
726,3,31,58
727,4,32,58
728,2,33,58
729,4,34,58
730,3,35,58
731,4,36,58
732,4,37,58
733,4,38,58
734,4,39,58
735,dsadsa,50,58
736,sad,50,58
737,3,30,58
738,3,31,58
739,4,32,58
740,4,33,58
741,4,34,58
742,4,35,58
743,4,36,58
744,4,37,58
745,4,38,58
746,4,39,58
747,4,9,58
748,4,10,58
749,4,11,58
750,4,12,58
751,4,13,58
752,4,14,58
753,4,15,58
754,4,16,58
755,4,17,58
756,4,18,58
757,4,19,58
758,4,20,58
759,4,21,58
760,4,22,58
761,3,23,58
762,3,24,58
763,4,25,58
764,4,26,58
765,4,27,58
766,4,28,58
767,4,29,58
768,4,30,58
769,4,31,58
770,4,32,58
771,3,33,58
772,3,34,58
773,3,35,58
774,4,36,58
775,4,37,58
776,4,38,58
777,4,39,58
778,4,9,58
779,4,10,58
780,4,11,58
781,4,12,58
782,4,13,58
783,4,14,58
784,4,15,58
785,4,16,58
786,4,17,58
787,4,18,58
788,4,19,58
789,4,20,58
790,4,21,58
791,4,22,58
792,4,23,58
793,3,24,58
794,4,25,58
795,3,26,58
796,3,27,58
797,4,28,58
798,4,29,58
799,asda,50,58
800,dsa,50,58
801,0,30,58
802,3,31,58
803,4,32,58
804,4,33,58
805,4,34,58
806,3,35,58
807,4,36,58
808,4,37,58
809,4,38,58
810,4,39,58
811,4,9,58
812,4,10,58
813,3,11,58
814,3,12,58
815,4,13,58
816,4,14,58
817,4,15,58
818,4,16,58
819,3,17,58
820,4,18,58
821,4,19,58
822,4,20,58
823,4,21,58
824,4,22,58
825,4,23,58
826,3,24,58
827,4,25,58
828,3,26,58
829,4,27,58
830,4,28,58
831,4,29,58
832,4,9,58
833,4,10,58
834,3,11,58
835,3,12,58
836,4,13,58
837,4,14,58
838,4,15,58
839,4,16,58
840,3,17,58
841,4,18,58
842,4,19,58
843,4,20,58
844,4,21,58
845,4,22,58
846,4,23,58
847,3,24,58
848,4,25,58
849,3,26,58
850,4,27,58
851,4,28,58
852,4,29,58
853,4,30,58
854,4,31,58
855,4,32,58
856,4,33,58
857,4,34,58
858,3,35,58
859,4,36,58
860,4,37,58
861,3,38,58
862,4,39,58
863,4,9,58
864,4,10,58
865,4,11,58
866,4,12,58
867,4,13,58
868,4,14,58
869,4,15,58
870,4,16,58
871,4,17,58
872,4,18,58
873,4,19,58
874,4,20,58
875,4,21,58
876,4,22,58
877,4,23,58
878,4,24,58
879,4,25,58
880,4,26,58
881,4,27,58
882,4,28,58
883,4,29,58
884,sad,50,58
885,asd,50,58
886,5,1,58
887,5,2,58
888,5,3,58
889,2,4,58
890,4,5,58
891,ads,6,58
892,sda,7,58
893,0,8,58
894,das,40,58
895,dsa,41,58
896,sa,42,58
897,3,9,58
898,3,10,58
899,3,11,58
900,3,12,58
901,4,13,58
902,4,14,58
903,3,15,58
904,3,16,58
905,3,17,58
906,4,18,58
907,4,19,58
908,4,20,58
909,4,21,58
910,4,22,58
911,4,23,58
912,3,24,58
913,4,25,58
914,4,26,58
915,4,27,58
916,4,28,58
917,4,29,58
918,2,30,58
919,4,31,58
920,4,32,58
921,3,33,58
922,4,34,58
923,4,35,58
924,4,36,58
925,4,37,58
926,3,38,58
927,4,39,58
928,4,9,58
929,3,10,58
930,4,11,58
931,4,12,58
932,4,13,58
933,4,14,58
934,3,15,58
935,3,16,58
936,4,17,58
937,4,18,58
938,4,19,58
939,4,20,58
940,4,21,58
941,3,22,58
942,2,23,58
943,2,24,58
944,4,25,58
945,4,26,58
946,4,27,58
947,3,28,58
948,3,29,58
949,sad,50,58
950,sasas,50,58
951,0,30,58
952,3,31,58
953,4,32,58
954,4,33,58
955,4,34,58
956,4,35,58
957,4,36,58
958,4,37,58
959,4,38,58
960,4,39,58
961,4,9,58
962,3,10,58
963,4,11,58
964,4,12,58
965,4,13,58
966,4,14,58
967,4,15,58
968,4,16,58
969,3,17,58
970,4,18,58
971,4,19,58
972,4,20,58
973,4,21,58
974,4,22,58
975,4,23,58
976,4,24,58
977,4,25,58
978,3,26,58
979,4,27,58
980,4,28,58
981,3,29,58
982,2,30,58
983,2,30,58
984,4,31,58
985,3,32,58
986,4,31,58
987,4,33,58
988,3,32,58
989,4,34,58
990,4,33,58
991,4,35,58
992,4,34,58
993,2,30,58
994,2,30,58
995,2,30,58
996,4,31,58
997,4,31,58
998,3,32,58
999,4,33,58
1000,3,32,58
1001,4,34,58
1002,4,33,58
1003,4,35,58
1004,4,34,58
1005,4,35,58
1006,3,36,58
1007,4,37,58
1008,4,35,58
1009,3,36,58
1010,4,31,58
1011,3,38,58
1012,2,39,58
1013,3,36,58
1014,4,37,58
1015,3,38,58
1016,2,39,58
1017,4,37,58
1018,3,36,58
1019,3,38,58
1020,2,39,58
1021,4,37,58
1022,3,32,58
1023,3,38,58
1024,4,33,58
1025,4,34,58
1026,2,39,58
1027,4,35,58
1028,3,36,58
1029,4,37,58
1030,3,38,58
1031,2,39,58
1032,2,30,58
1033,4,31,58
1034,3,32,58
1035,4,33,58
1036,4,34,58
1037,4,35,58
1038,3,36,58
1039,4,37,58
1040,3,38,58
1041,2,39,58
1042,2,30,58
1043,4,31,58
1044,3,32,58
1045,4,33,58
1046,4,34,58
1047,4,35,58
1048,3,36,58
1049,4,37,58
1050,3,38,58
1051,2,39,58
1052,2,30,58
1053,2,30,58
1054,4,31,58
1055,3,32,58
1056,4,33,58
1057,4,34,58
1058,4,35,58
1059,3,36,58
1060,4,31,58
1061,4,37,58
1062,3,38,58
1063,2,39,58
1064,3,32,58
1065,4,33,58
1066,4,34,58
1067,4,35,58
1068,3,36,58
1069,4,37,58
1070,3,38,58
1071,2,39,58
1072,2,30,58
1073,4,31,58
1074,3,32,58
1075,4,33,58
1076,4,34,58
1077,4,35,58
1078,3,36,58
1079,4,37,58
1080,3,38,58
1081,2,39,58
1082,0,9,58
1083,4,10,58
1084,3,11,58
1085,2,12,58
1086,1,13,58
1087,4,14,58
1088,3,15,58
1089,3,16,58
1090,3,17,58
1091,3,18,58
1092,2,19,58
1093,3,20,58
1094,4,21,58
1095,3,22,58
1096,3,23,58
1097,4,24,58
1098,4,25,58
1099,3,26,58
1100,3,27,58
1101,4,28,58
1102,2,29,58
1103,nklnk,50,58
1104,klnl,50,58
1105,2,9,58
1106,4,10,58
1107,4,11,58
1108,4,12,58
1109,4,13,58
1110,4,14,58
1111,3,15,58
1112,3,16,58
1113,3,17,58
1114,4,18,58
1115,4,19,58
1116,3,20,58
1117,3,21,58
1118,4,22,58
1119,3,23,58
1120,2,24,58
1121,3,25,58
1122,3,26,58
1123,3,27,58
1124,3,28,58
1125,3,29,58
1126,2,9,58
1127,4,10,58
1128,4,11,58
1129,4,12,58
1130,4,13,58
1131,4,14,58
1132,3,15,58
1133,3,16,58
1134,3,17,58
1135,4,18,58
1136,4,19,58
1137,3,20,58
1138,3,21,58
1139,4,22,58
1140,3,23,58
1141,2,24,58
1142,3,25,58
1143,3,26,58
1144,3,27,58
1145,3,28,58
1146,3,29,58
1147,4,9,58
1148,4,10,58
1149,3,11,58
1150,3,12,58
1151,4,13,58
1152,4,14,58
1153,4,15,58
1154,4,16,58
1155,3,17,58
1156,4,18,58
1157,4,19,58
1158,4,20,58
1159,4,21,58
1160,4,22,58
1161,4,23,58
1162,4,24,58
1163,4,25,58
1164,4,26,58
1165,4,27,58
1166,4,28,58
1167,4,29,58
1168,3,30,58
1169,4,31,58
1170,3,32,58
1171,3,33,58
1172,3,34,58
1173,3,35,58
1174,4,36,58
1175,4,37,58
1176,4,38,58
1177,4,39,58
1178,4,9,58
1179,3,10,58
1180,4,11,58
1181,4,12,58
1182,4,13,58
1183,4,14,58
1184,4,15,58
1185,4,16,58
1186,4,17,58
1187,3,18,58
1188,4,19,58
1189,4,20,58
1190,4,21,58
1191,4,22,58
1192,4,23,58
1193,3,24,58
1194,4,25,58
1195,4,26,58
1196,4,27,58
1197,4,28,58
1198,3,29,58
1199,3,30,58
1200,4,31,58
1201,4,32,58
1202,3,33,58
1203,4,34,58
1204,4,35,58
1205,4,36,58
1206,4,37,58
1207,4,38,58
1208,4,39,58
1209,4,30,58
1210,4,31,58
1211,4,32,58
1212,4,33,58
1213,4,34,58
1214,4,35,58
1215,4,36,58
1216,4,37,58
1217,3,38,58
1218,4,39,58
1219,4,9,58
1220,3,10,58
1221,3,11,58
1222,4,12,58
1223,4,13,58
1224,4,14,58
1225,4,15,58
1226,4,16,58
1227,4,17,58
1228,3,18,58
1229,4,19,58
1230,4,20,58
1231,4,21,58
1232,4,22,58
1233,4,23,58
1234,4,24,58
1235,4,25,58
1236,4,26,58
1237,4,27,58
1238,4,28,58
1239,3,29,58
1240,2,30,58
1241,3,31,58
1242,4,32,58
1243,3,33,58
1244,3,34,58
1245,3,35,58
1246,3,36,58
1247,4,37,58
1248,4,38,58
1249,3,39,58
1250,2,9,58
1251,3,10,58
1252,3,11,58
1253,3,12,58
1254,4,13,58
1255,3,14,58
1256,4,15,58
1257,4,16,58
1258,3,17,58
1259,4,18,58
1260,3,19,58
1261,3,20,58
1262,4,21,58
1263,3,22,58
1264,3,23,58
1265,3,24,58
1266,4,25,58
1267,4,26,58
1268,4,27,58
1269,4,28,58
1270,4,29,58
1271,4,30,58
1272,4,31,58
1273,4,32,58
1274,3,33,58
1275,4,34,58
1276,3,35,58
1277,2,36,58
1278,3,37,58
1279,3,38,58
1280,3,39,58
1281,4,9,58
1282,4,10,58
1283,3,11,58
1284,3,12,58
1285,3,13,58
1286,4,14,58
1287,4,15,58
1288,4,16,58
1289,4,17,58
1290,3,18,58
1291,4,19,58
1292,4,20,58
1293,4,21,58
1294,3,22,58
1295,4,23,58
1296,3,24,58
1297,4,25,58
1298,4,26,58
1299,3,27,58
1300,3,28,58
1301,3,29,58
1302,4,9,58
1303,4,10,58
1304,4,11,58
1305,4,12,58
1306,4,13,58
1307,4,14,58
1308,3,15,58
1309,4,16,58
1310,4,17,58
1311,4,18,58
1312,4,19,58
1313,4,20,58
1314,4,21,58
1315,4,22,58
1316,4,23,58
1317,3,24,58
1318,4,25,58
1319,4,26,58
1320,4,27,58
1321,4,28,58
1322,4,29,58
1323,3,30,58
1324,4,31,58
1325,4,32,58
1326,4,33,58
1327,4,34,58
1328,3,35,58
1329,3,36,58
1330,4,37,58
1331,4,38,58
1332,2,39,58
